,time,user_followers,Polarity,Subjectivity,BERT_SCORE,Vader_Comp,Vader_Pos,Vader_Neg,Vader_Neu,W_Vad_Pos,W_Vad_Neg,W_Vad_Neu,W_Vad_Comp,W_BERT_SCORE,W_Polarity,W_Subjectivity,W_BERT_Label,high,low,open,volumefrom,volumeto,close,Change,Change_Pct,Change_Cat
404,2022-03-16,23429915,149.4230813,364.8451471,1009.236334,236.0591,106.441,33.491,1040.058,4633490.702,140729.916,18655703.46,8397738.413,19410849.89,2920962.496,11236637.05,1065523,41638.54,38933.24,39314.86,54967.36,2217384588,41133.64,-176.85,-0.4299400685,-1
405,2022-03-17,4237098,82.78745497,203.4369909,518.0555272,113.784,53.328,18.716,530.961,469852.071,96063.876,3671224.702,1268426.422,3398142.445,772376.4076,1965646.277,155879,41441.08,40581.36,41133.64,18001.83,736387236,40956.79,834.18,2.036731883,1
406,2022-03-18,6079929,70.82790704,180.4310457,480.1775385,105.0865,49.582,20.218,494.202,595406.244,56094.867,5428451.415,1627352.711,5292088.382,433162.4681,1929768.506,-46427,42250.94,40230.1,40956.79,31863.74,1310605070,41790.97,444.05,1.062550115,1
407,2022-03-19,2021701,56.24740657,135.2678802,338.2720619,105.966,37.321,10.836,350.846,172584.917,78231.866,1770862.395,386548.2925,1747408.308,457925.0005,765001.7668,-249456,42367.55,41549.61,41790.97,15244.76,638860854,42235.02,-991.86,-2.348430284,-1
408,2022-03-20,1790260,59.36704089,150.7820194,382.7458434,87.6931,37.872,13.587,391.549,182945.825,48361.724,1559104.508,534726.544,1553650.584,474840.5146,728174.5008,68796,42297.3,40979.25,42235.02,15580.67,647551620.2,41243.16,-199.26,-0.483134658,-1
409,2022-03-21,7236696,103.2537334,250.443163,666.939784,167.6566,71.352,25.133,675.52,910630.783,118378.2,6207715.401,2597103.814,6449968.954,956174.5851,1749350.676,321770,41510.03,40555.57,41243.16,21865.63,897693606.3,41043.9,1336.21,3.255562946,1
410,2022-03-22,137,0,0.2,0.943487227,-0.296,0,0.081,0.919,0,11.097,125.903,-40.552,129.2577501,0,27.4,0,43287.39,40923.9,41043.9,37636.83,1597913843,42380.11,523.99,1.236405474,1
411,2022-03-23,2451926,97.13213999,242.2266301,600.827284,142.262,62.87,22.145,605.975,246711.263,44517.887,2160680.521,733438.3909,2119827.665,693225.6889,979676.0073,189356,43021.74,41806.4,42380.11,26406.13,1116852857,42904.1,1102.67,2.570080715,1
412,2022-03-24,13596169,185.2882529,444.6708022,1219.761743,267.7421,131.472,47.083,1252.462,992920.798,543985.627,12059243.28,1221302.786,11333229.08,914020.7235,3905620.32,-2214663,44230.66,42653.71,42904.1,34879.48,1514036891,44006.77,324.59,0.737591057,1
413,2022-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45112.71,43629.05,44006.77,34465.44,1529847573,44331.36,210.95,0.4758482483,1
414,2022-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44811.3,44108.04,44331.36,11559.16,513402297.3,44542.31,2299.83,5.163248157,1
415,2022-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46896.6,44449.41,44542.31,22676.91,1035071606,46842.14,286.57,0.611778198,1
416,2022-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48208.48,46669.19,46842.14,35796.78,1697234774,47128.71,316.59,0.6717561334,1
